SampleID	names	sampleNum	sequencingPlate	well	primerPlate	project	mayberryCyanos	desert	studyTimepoint	repliacte	farmGreenhouse	mayberryStake	water	priorWater	shade	priorShade	substrate	priorSubstrate
cesu1MJinitialaDNA	cesu.1.MJ.initial.a.DNA	1	1	A1	1	MJ	y	initial	1	1	NA	NA	NA	NA	none	NA	soil	NA
cesu2MJinitialbDNA	cesu.2.MJ.initial.b.DNA	2	1	B1	1	MJ	y	initial	1	2	NA	NA	NA	NA	none	NA	soil	NA
cesu3MJinitialcDNA	cesu.3.MJ.initial.c.DNA	3	1	C1	1	MJ	y	initial	1	3	NA	NA	NA	NA	none	NA	soil	NA
cesu7CPinitialaDNA	cesu.7.CP.initial.a.DNA	7	1	G1	1	CP	y	initial	1	1	NA	NA	NA	NA	none	NA	soil	NA
cesu8CPinitialbDNA	cesu.8.CP.initial.b.DNA	8	1	H1	1	CP	y	initial	1	2	NA	NA	NA	NA	none	NA	soil	NA
cesu9CPinitialc	cesu.9.CP.initial.c	9	1	A2	1	CP	y	initial	1	3	NA	NA	NA	NA	none	NA	soil	NA
cesu10GH0CP31	cesu.10.GH0.CP.31	10	1	B2	1	GH0	n	CP	2	31	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu11GH0CP52	cesu.11.GH0.CP.52	11	1	C2	1	GH0	n	CP	2	52	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu12GH0CP85	cesu.12.GH0.CP.85	12	1	D2	1	GH0	n	CP	2	85	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu13GH0CP87	cesu.13.GH0.CP.87	13	1	E2	1	GH0	n	CP	2	87	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu14GH0MJ46	cesu.14.GH0.MJ.46	14	1	F2	1	GH0	n	MJ	2	46	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu15GH0MJ63	cesu.15.GH0.MJ.63	15	1	G2	1	GH0	n	MJ	2	63	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu16GH0MJ74	cesu.16.GH0.MJ.74	16	1	H2	1	GH0	n	MJ	2	74	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu17GH0MJ81	cesu.17.GH0.MJ.81	17	1	A3	1	GH0	n	MJ	2	81	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu21GH0CPS20	cesu.21.GH0.CP.S.20	21	1	B3	1	GH0	n	CP	2	20	NA	NA	3	NA	S	NA	greenhouseSoil	NA
cesu22GH0CPS72	cesu.22.GH0.CP.S.72	22	1	C3	1	GH0	n	CP	2	72	NA	NA	3	NA	S	NA	greenhouseSoil	NA
cesu23GH0CPS76	cesu.23.GH0.CP.S.76	23	1	D3	1	GH0	n	CP	2	76	NA	NA	3	NA	S	NA	greenhouseSoil	NA
cesu24GH0CPS83	cesu.24.GH0.CP.S.83	24	1	E3	1	GH0	n	CP	2	83	NA	NA	3	NA	S	NA	greenhouseSoil	NA
cesu25GH0MJS25	cesu.25.GH0.MJ.S.25	25	1	F3	1	GH0	n	MJ	2	25	NA	NA	3	NA	S	NA	greenhouseSoil	NA
cesu26GH0MJS62	cesu.26.GH0.MJ.S.62	26	1	G3	1	GH0	n	MJ	2	62	NA	NA	3	NA	S	NA	greenhouseSoil	NA
cesu27GH0MJS82	cesu.27.GH0.MJ.S.82	27	1	H3	1	GH0	n	MJ	2	82	NA	NA	3	NA	S	NA	greenhouseSoil	NA
cesu28GH0MJS90	cesu.28.GH0.MJ.S.90	28	1	A4	1	GH0	n	MJ	2	90	NA	NA	3	NA	S	NA	greenhouseSoil	NA
cesu32GH1CP31	cesu.32.GH1.CP.31	32	1	B4	1	GH1	n	CP	3	31	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu33GH1CP49	cesu.33.GH1.CP.49	33	1	C4	1	GH1	n	CP	3	49	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu34GH1CP85	cesu.34.GH1.CP.85	34	1	D4	1	GH1	n	CP	3	85	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu35GH1CP87	cesu.35.GH1.CP.87	35	1	E4	1	GH1	n	CP	3	87	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu36GH1MJ46	cesu.36.GH1.MJ.46	36	1	F4	1	GH1	n	MJ	3	46	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu37GH1MJ63	cesu.37.GH1.MJ.63	37	1	G4	1	GH1	n	MJ	3	63	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu38GH1MJ74	cesu.38.GH1.MJ.74	38	1	H4	1	GH1	n	MJ	3	74	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu39GH1MJ81	cesu.39.GH1.MJ.81	39	1	A5	1	GH1	n	MJ	3	81	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu40GH111controlDNA	cesu.40.GH1.11.control.DNA	40	1	B5	1	GH1	n	control	3	11	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu41GH160controlDNA	cesu.41.GH1.60.control.DNA	41	1	C5	1	GH1	n	control	3	60	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu42GH14controlDNA	cesu.42.GH1.4.control.DNA	42	1	D5	1	GH1	n	control	3	4	NA	NA	3	NA	none	NA	greenhouseSoil	NA
cesu43GH1CPS20	cesu.43.GH1.CP.S.20	43	1	E5	1	GH1	n	CP	3	20	NA	NA	3	NA	S	NA	greenhouseSoil	NA
cesu44GH1CPS72	cesu.44.GH1.CP.S.72	44	1	F5	1	GH1	n	CP	3	72	NA	NA	3	NA	S	NA	greenhouseSoil	NA
