phase,bag_num,unit_or_mayberry_stake,desert_source,mayberry_treatment,cultivation_f_g_c,cultivation_shade,cultivation_water,cultivation_substrate,cultivation_inoc_status,sod_section_num,lab_replicate,property,date_sampled,cores,slake,resurrect_block,resurrect_sample_provenance,resurrect_desert_treatment,date_eps,eps_extractor,eps_timepoint,eps_timepoint_months,lb_eps,tb_eps,g_eps,total_eps,chla,old_cyano_qPCR,Note
greenhouse,,3,Mojave,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,57.000,-20.110,143.940,180.830,3.384,,
greenhouse,,3,Mojave,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,77.620,-3.060,228.240,302.800,2.125,,
greenhouse,,3,Mojave,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,168.270,86.290,188.590,443.150,4.085,,
greenhouse,,4,Mojave,NA,,C,3,,C,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,22.800,18.060,15.540,56.400,0.577,314000,
greenhouse,,4,Mojave,NA,,C,3,,C,NA,,NA,,NA,NA,,,,7/15/19,ND,initial,0,65.930,50.700,33.796,150.430,0.087,,
greenhouse,,4,Mojave,NA,,C,3,,C,NA,,NA,,,,,,,7/20/22,SDJ,post,4,26.400,106.580,126.490,259.460,0.577,,ND's chla value
greenhouse,,5,CP,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,99.930,40.060,129.600,269.590,4.417,,
greenhouse,,5,CP,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,137.280,10.420,195.680,343.380,4.392,,
greenhouse,,5,CP,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,112.090,12.190,190.100,314.380,4.579,,
greenhouse,,6,CP,NA,,S,1,,C,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,28.250,-1.340,8.330,35.230,0.291,,
greenhouse,,6,CP,NA,,S,1,,C,NA,,NA,,NA,NA,,,,7/15/19,ND,initial,0,90.610,58.380,32.850,181.840,-0.219,,
greenhouse,,7,Mojave,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,61.910,32.440,70.910,165.250,6.515,,
greenhouse,,7,Mojave,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,78.190,-11.940,139.000,205.250,6.082,,
greenhouse,,7,Mojave,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,71.040,-23.140,113.910,161.820,6.986,,
greenhouse,,8,Mojave,NA,,C,3,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,150.310,10.740,255.550,416.600,9.988,,
greenhouse,,8,Mojave,NA,,C,3,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,106.530,19.300,163.580,289.420,12.560,,
greenhouse,,8,Mojave,NA,,C,3,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,103.130,-4.830,267.300,365.600,11.873,,
greenhouse,,8,Mojave,NA,,C,3,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,106.220,15.800,174.060,296.080,4.332,,
greenhouse,,8,Mojave,NA,,C,3,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,122.550,19.120,238.740,380.400,4.689,,
greenhouse,,8,Mojave,NA,,C,3,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,157.670,41.580,268.840,468.090,2.791,,
greenhouse,,11,CP,NA,,C,3,,C,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,32.860,-1.230,334.370,366.000,NA,221000,
greenhouse,,11,CP,NA,,C,3,,C,NA,,NA,,NA,NA,,,,7/15/19,ND,initial,0,89.390,19.070,33.440,141.900,0.456,,
greenhouse,,11,CP,NA,,C,3,,C,NA,,NA,,,,,,,7/20/22,SDJ,post,4,11.150,60.620,121.190,192.970,NA,,ND's chla value
greenhouse,,13,Mojave,NA,,C,3,,C,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,29.220,0.650,19.230,49.100,1.132,,
greenhouse,,13,Mojave,NA,,C,3,,C,NA,,NA,,NA,NA,,,,7/15/19,ND,initial,0,22.273,22.161,21.693,66.130,-0.132,,
greenhouse,,14,CP,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,149.870,55.540,363.730,569.140,3.355,,
greenhouse,,14,CP,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,109.960,38.900,293.440,442.310,3.801,,
greenhouse,,14,CP,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,127.140,368.390,396.750,892.280,4.737,,
greenhouse,,14,CP,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,40.730,0.600,46.940,88.270,0.750,,
greenhouse,,14,CP,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,49.590,15.650,29.220,94.460,0.677,,
greenhouse,,14,CP,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,53.810,9.490,31.090,94.400,0.730,,
greenhouse,,16,CP,NA,,S,3,,C,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,98.640,29.520,48.300,176.450,1.230,,
greenhouse,,16,CP,NA,,S,3,,C,NA,,NA,,NA,NA,,,,7/15/19,ND,initial,0,40.080,19.860,21.690,81.620,0.086,,
greenhouse,,16,CP,NA,,S,3,,C,NA,,NA,,NA,NA,,,,7/20/22,SDJ,post,4,79.920,160.200,168.290,408.410,1.230,,ND's chla value
greenhouse,,17,Mojave,NA,,S,3,,C,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,67.370,16.490,40.210,124.070,1.497,,
greenhouse,,17,Mojave,NA,,S,3,,C,NA,,NA,,NA,NA,,,,7/15/19,ND,initial,0,61.667,32.127,31.611,125.410,0.219,,
greenhouse,,18,Mojave,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,207.400,-0.960,240.880,447.320,5.943,,
greenhouse,,18,Mojave,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,318.570,9.000,389.050,716.610,5.605,,
greenhouse,,18,Mojave,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,252.200,40.500,375.050,667.750,7.837,,
greenhouse,,18,Mojave,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,61.960,23.770,94.280,180.010,5.362,,
greenhouse,,18,Mojave,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,61.370,17.820,137.050,216.240,2.936,,
greenhouse,,18,Mojave,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,50.960,15.250,79.910,146.120,11.329,,
greenhouse,,19,CP,NA,,S,1,,C,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,35.190,9.040,6.630,50.850,NA,,
greenhouse,,19,CP,NA,,S,1,,C,NA,,NA,,NA,NA,,,,7/15/19,ND,initial,0,86.460,32.000,29.160,147.620,0.091,,
greenhouse,,20,CP,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,94.150,-25.000,250.250,319.410,2.122,,
