ASV,G_Cydrasil,S_Cydrasil,G_checked,S_checked,likelihood_note,other_notes,Checked again 4.12.23,Checked against Vanessa's paper?,In steenstrupii complex?,assigners_initials,Date
ASV_1,Microcoleus,vaginatus,Microcoleus,vaginatus,,,y,y,n,SDJ,spring 2023
ASV_36,Chroococcidiopsis,sp.,Chroococcidiopsis,,,,y,y,n,SDJ,spring 2023
ASV_13,Scytonema,sp.,Scytonema,,,,y,y,n,SDJ,spring 2023
ASV_118,Schizothrix,cf-calcicola,Schizothrix,cf-calcicola,,,y,y,n,SDJ,spring 2023
ASV_164,Scytonema,sp.,Scytonema,,,,y,y,n,SDJ,spring 2023
ASV_46,Scytonema,sp.,Scytonema,,,,y,y,n,SDJ,spring 2023
ASV_177,Chroococcidiopsis,sp.,Chroococcidiopsis,,,,y,y,n,SDJ,spring 2023
ASV_67,Microcoleus,paludosus,Undefined Coleofasciculaceae,,,,y,y,y,SDJ,spring 2023
ASV_219,Pycnacronema,brasiliensis,Pycnacronema,brasiliensis,,,y,y,y,SDJ,spring 2023
ASV_181,Parifilum,sp.,Parifilum,,,,y,y,y,SDJ,spring 2023
ASV_89,Arizonema,sp.,Arizonema,,,,y,y,y,SDJ,spring 2023
ASV_152,Pycnacronema,brasiliensis,Pycnacronema,brasiliensis,,,y,y,y,SDJ,spring 2023
ASV_69,not identified,,Undefined Coleofasciculaceae,,,,y,y,y,SDJ,spring 2023
ASV_134,not identified,,Allocoleopsis,,,,y,y,y,SDJ,spring 2023
ASV_309,Trichocoleus,sociatus,Funiculus,,,,y,y,y,SDJ,spring 2023
ASV_291,Porphyrosiphon,notarisii,Funiculus,,likelihood = 0.62,,y,y,y,SDJ,spring 2023
ASV_175,Microcoleus,paludosus,Microcoleus,paludosus,,,y,y,y,SDJ,spring 2023
ASV_297,Pycnacronema,spp.,Pycnacronema,,,,y,y,y,SDJ,spring 2023
ASV_863,not identified,,Undefined Chroococcidiopsidales,,,,"y, BLASTn",y,n,SDJ,spring 2023
ASV_180,not identified,,not identified,,,,"y, BLASTn",y,n,SDJ,spring 2023
ASV_390,not identified,,Undefined Coleofasciculaceae,,,,y,y,y,SDJ,spring 2023
ASV_460,Microcoleus,paludosus,Parifilum,,,,y,y,y,SDJ,spring 2023
ASV_253,Potamolinea,spp.,Potamolinea,,,,y,y,y,SDJ,spring 2023
ASV_517,Leptolyngbya,sp.,Trichocoleus,desertorum,,,"y, BLASTn",y,n,SDJ,spring 2023
ASV_882,Microcoleus,spp.,Microcoleus,vaginatus,,,"y, BLASTn",y,n,SDJ,spring 2023
ASV_936,Microcoleus,vaginatus,Microcoleus,vaginatus,,,y,y,n,SDJ,spring 2023
ASV_1117,Nostoc,spp.,Nostoc,,,,y,y,n,SDJ,spring 2023
ASV_403,Calothrix,spp.,Undefined Nostocales,,likelihood < 70 for Calothrix,,y,y,n,SDJ,spring 2023
ASV_355,Crustifilum,spp.,Crustifilum,,,,y,y,y,SDJ,spring 2023
ASV_1591,Scytonema,spp.,Scytonema,,,,"y, BLASTn",y,n,SDJ,spring 2023
ASV_122,Microcoleus,vaginatus,Microcoleus,vaginatus,,,y,y,n,SDJ,spring 2023
