SampleID,names,sampleNum,qPCR_16S_copies,qPCR_notes,sample_mass_g,num_cores,mass_per_core,surface_area_per_core,mass_soil_extracted_for_DNA_g
cesu1MJinitialaDNA,cesu.1.MJ.initial.a.DNA,1,3275176.374,,,,,,0.25
cesu2MJinitialbDNA,cesu.2.MJ.initial.b.DNA,2,2724003.58,,,,,,0.2501
cesu3MJinitialcDNA,cesu.3.MJ.initial.c.DNA,3,1426734.17,,,,,,0.2497
cesu7CPinitialaDNA,cesu.7.CP.initial.a.DNA,7,1395724.215,,,,,,0.2499
cesu8CPinitialbDNA,cesu.8.CP.initial.b.DNA,8,1868398.734,,,,,,0.2497
cesu9CPinitialc,cesu.9.CP.initial.c,9,2060581.228,,,,,,0.251
cesu10GH0CP31,cesu.10.GH0.CP.31,10,1001273.267,,,,,,0.2508
cesu11GH0CP52,cesu.11.GH0.CP.52,11,481204.0987,,,,,,0.2507
cesu12GH0CP85,cesu.12.GH0.CP.85,12,580032.3034,,,,,,0.2509
cesu13GH0CP87,cesu.13.GH0.CP.87,13,2328037.606,,,,,,0.2499
cesu14GH0MJ46,cesu.14.GH0.MJ.46,14,5165996.588,,,,,,0.2501
cesu15GH0MJ63,cesu.15.GH0.MJ.63,15,3265723.867,,,,,,0.2506
cesu16GH0MJ74,cesu.16.GH0.MJ.74,16,2975776.74,,,,,,0.2509
cesu17GH0MJ81,cesu.17.GH0.MJ.81,17,2579284.365,,,,,,0.2506
cesu21GH0CPS20,cesu.21.GH0.CP.S.20,21,1980399.643,,,,,,0.251
cesu22GH0CPS72,cesu.22.GH0.CP.S.72,22,2220103.723,,,,,,0.2504
cesu23GH0CPS76,cesu.23.GH0.CP.S.76,23,1242657.135,,,,,,0.2495
cesu24GH0CPS83,cesu.24.GH0.CP.S.83,24,1538866.088,,,,,,0.2498
cesu25GH0MJS25,cesu.25.GH0.MJ.S.25,25,3762116.776,,,,,,0.2494
cesu26GH0MJS62,cesu.26.GH0.MJ.S.62,26,3304565.011,,,,,,0.25
cesu27GH0MJS82,cesu.27.GH0.MJ.S.82,27,4618693.248,,,,,,0.25
cesu28GH0MJS90,cesu.28.GH0.MJ.S.90,28,1603649.849,,,,,,0.2501
cesu32GH1CP31,cesu.32.GH1.CP.31,32,3066510.909,,,,,,0.2497
cesu33GH1CP49,cesu.33.GH1.CP.49,33,1561049.392,,,,,,0.2509
cesu34GH1CP85,cesu.34.GH1.CP.85,34,505598.7754,,,,,,0.2508
cesu35GH1CP87,cesu.35.GH1.CP.87,35,306152.4862,,,,,,0.2495
cesu36GH1MJ46,cesu.36.GH1.MJ.46,36,1278066.794,,,,,,0.25
cesu37GH1MJ63,cesu.37.GH1.MJ.63,37,1354241.976,,,,,,0.249
cesu38GH1MJ74,cesu.38.GH1.MJ.74,38,2271003.612,,,,,,0.2494
cesu39GH1MJ81,cesu.39.GH1.MJ.81,39,2781868.434,,,,,,0.2494
cesu40GH111controlDNA,cesu.40.GH1.11.control.DNA,40,83827.36515,,,,,,0.2509
cesu41GH160controlDNA,cesu.41.GH1.60.control.DNA,41,335852.5391,,,,,,0.2506
cesu42GH14controlDNA,cesu.42.GH1.4.control.DNA,42,23840.90104,,,,,,0.2491
cesu43GH1CPS20,cesu.43.GH1.CP.S.20,43,1075590.393,,,,,,0.2498
cesu44GH1CPS72,cesu.44.GH1.CP.S.72,44,1659913.891,,,,,,0.25
cesu45GH1CPS76,cesu.45.GH1.CP.S.76,45,720436.3606,,,,,,0.2503
cesu46GH1CPS83,cesu.46.GH1.CP.S.83,46,1790822.436,,,,,,0.2506
cesu47GH1MJS25,cesu.47.GH1.MJ.S.25,47,2374758.695,,,,,,0.2506
cesu48GH1MJS62,cesu.48.GH1.MJ.S.62,48,1427439.934,,,,,,0.2503
cesu49GH1MJS82,cesu.49.GH1.MJ.S.82,49,3389859.98,,,,,,0.2498
cesu50GH1MJS90,cesu.50.GH1.MJ.S.90,50,1527801.396,,,,,,0.2504
cesu51GH116ScontrolDNA,cesu.51.GH1.16.S.control.DNA,51,544082.265,,,,,,0.2492
cesu52GH180ScontrolDNA,cesu.52.GH1.80.S.control.DNA,52,314958.7891,,,,,,0.2501
cesu53GH139ScontrolDNA,cesu.53.GH1.39.S.control.DNA,53,38539.80389,,,,,,0.2502
cesu54MB17991controlDNA,cesu.54.MB1.79.9.1.control.DNA,54,337223.1731,,,8,,0.785,0.2503
cesu55MB17992controlDNA,cesu.55.MB1.79.9.2.control.DNA,55,1188951.265,,,8,,0.785,0.2494
cesu56MB17995controlDNA,cesu.56.MB1.79.9.5.control.DNA,56,994355.5703,,,8,,0.785,0.2493
cesu57MB1CP2AP861,cesu.57.MB1.CP.2A.P86.1,57,1352129.414,,,8,,0.785,0.2491
cesu58MB1CP2AP862,cesu.58.MB1.CP.2A.P86.2,58,1982240.248,,,8,,0.785,0.2494
cesu59MB1CP2AP711,cesu.59.MB1.CP.2A.P71.1,59,2034731.15,,,8,,0.785,0.25
